Token,SHAP_Score
Fact ,2.568216333125025
not ,1.0343543241800122
Check,0.9562968637712895
video ,0.7949012904269069
shared ,0.747207374562369
for ,0.5521915561694186
did ,0.41487859917106107
error,0.39794893679209054
News ,0.3746042596564318
Video ,0.3660388608538729
fake,0.3553724307566881
Did ,0.34997708935711885
Fake ,0.3452998687668393
viral ,0.32967372413259
who ,0.2608865713700652
law,0.2594009191961959
Old ,0.25926895822223245
print,0.24182085879147053
Was ,0.23691243278153706
its ,0.23119075899012387
Facebook ,0.23016617528628558
wrong,0.22001531021669507
photo ,0.2125355148455128
show ,0.20573195222633608
false,0.2054917283821851
and ,0.20125351852038875
says ,0.19765718560665846
White,0.17887024577551833
his ,0.1747553050518036
false ,0.17394074611365795
